Price,Location,Details
5 000 000 DH,"Gauthier à
	 					Casablanca","4 chambres, 262 m²"
450 000 DH,"Roches Noires à
	 					Casablanca","1 chambre, 30 m²"
1 895 200 DH,"Californie à
	 					Casablanca","3 chambres, 108 m²"
929 250 DH,"Riviera à
	 					Casablanca","1 chambre, 42 m²"
1 073 140 DH,"Sidi Maarouf à
	 					Casablanca","1 chambre, 95 m²"
4 200 000 DH,"Anfa à
	 					Casablanca","3 chambres, 189 m²"
3 900 000 DH,"Racine à
	 					Casablanca","3 chambres, 287 m²"
960 000 DH,"Bernoussi à
	 					Casablanca","3 chambres, 87 m²"
À partir de 679 000 DH,Dar Bouazza,N/A
2 100 000 DH,"Casablanca Finance City à
   						Casablanca","1 chambre, 64 m²"
3 500 000 DH,"Racine à
   						Casablanca","4 chambres, 185 m²"
2 100 000 DH,"Les princesses à
   						Casablanca","2 chambres, 96 m²"
3 500 000 DH,"Maârif à
   						Casablanca","3 chambres, 217 m²"
8 900 000 DH,"Ain Diab à
   						Casablanca","4 chambres, 540 m²"
1 706 230 DH,"Californie à
   						Casablanca","3 chambres, 99 m²"
1 585 000 DH,"Californie à
   						Casablanca","3 chambres, 101 m²"
3 100 000 DH,"Racine à
   						Casablanca","3 chambres, 181 m²"
190 000 DH,"Lissasfa à
   						Casablanca","2 chambres, 54 m²"
3 500 000 DH,"Gauthier à
   						Casablanca","3 chambres, 220 m²"
1 400 000 DH,"Oasis à
   						Casablanca","3 chambres, 90 m²"
1 120 000 DH,"Foncière à
   						Casablanca","1 chambre, 89 m²"
11 300 000 DH,"Ain Diab Extension à
   						Casablanca","4 chambres, 571 m²"
1 620 000 DH,"Belvédère à
   						Casablanca","3 chambres, 148 m²"
2 508 000 DH,"Les princesses à
   						Casablanca","3 chambres, 132 m²"
1 320 000 DH,"Oasis à
   					Casablanca",N/A
4 800 000 DH,"Racine à
   					Casablanca",N/A
2 000 000 DH,"Al Qods à
   					Casablanca",N/A
1 260 000 DH,"Hay Hassani à
   					Casablanca",N/A
3 850 000 DH,"Maârif Extension à
   					Casablanca",N/A
1 250 000 DH,"Centre Ville à
   					Casablanca",N/A
Prix à consulter,"Mers Sultan à
   					Casablanca",N/A
2 500 000 DH,"Hermitage à
   					Casablanca",N/A
3 350 000 DH,"Ferme Bretonne (Hay Arraha) à
   					Casablanca",N/A
900 000 DH,"Hay Hassani à
   					Casablanca",N/A
1 024 600 DH,"Hay Mohammadi à
	 					Casablanca","3 chambres, 94 m²"
4 400 000 DH,"Anfa à
	 					Casablanca","2 chambres, 169 m²"
1 630 000 DH,"Foncière à
	 					Casablanca","2 chambres, 97 m²"
700 000 DH,"Roches Noires à
	 					Casablanca","1 chambre, 48 m²"
12 000 000 DH,"Californie à
	 					Casablanca","4 chambres, 600 m²"
7 000 DH,"Bernoussi à
	 					Casablanca","3 chambres, 70 m²"
1 400 000 DH,"Oasis à
	 					Casablanca","3 chambres, 70 m²"
1 400 000 DH,"Ain Chock à
	 					Casablanca","2 chambres, 84 m²"
À partir de 670 000 DH,Bouskoura Ville à Bouskoura,N/A
190 000 DH,"Lissasfa à
   						Casablanca","2 chambres, 50 m²"
590 000 DH,"Roches Noires à
   						Casablanca","1 chambre, 37 m²"
700 000 DH,"Roches Noires à
   						Casablanca","1 chambre, 48 m²"
1 471 800 DH,"Californie à
   						Casablanca","2 chambres, 86 m²"
1 150 000 DH,"Belvédère à
   						Casablanca","2 chambres, 99 m²"
7 200 000 DH,"Oulfa à
   						Casablanca","4 chambres, 377 m²"
953 400 DH,"Hay Hassani à
   						Casablanca","2 chambres, 77 m²"
1 000 650 DH,"Hay Hassani à
   						Casablanca","2 chambres, 66 m²"
1 221 150 DH,"Hay Hassani à
   						Casablanca","3 chambres, 92 m²"
1 218 000 DH,"Hay Hassani à
   						Casablanca","3 chambres, 102 m²"
744 640 DH,"Hay Hassani à
   						Casablanca","2 chambres, 73 m²"
5 250 000 DH,"Anfa à
   						Casablanca","3 chambres, 186 m²"
1 421 000 DH,"Sidi Maarouf à
   						Casablanca","2 chambres, 105 m²"
2 800 000 DH,"Casablanca Finance City à
   						Casablanca","2 chambres, 121 m²"
1 130 000 DH,"Belvédère à
   						Casablanca","2 chambres, 89 m²"
1 400 000 DH,"La Vilette à
   					Casablanca",N/A
2 850 000 DH,"Ferme Bretonne (Hay Arraha) à
   					Casablanca",N/A
880 000 DH,"Lissasfa à
   					Casablanca",N/A
6 500 000 DH,"Vermont à
   					Casablanca",N/A
3 240 000 DH,"Oulfa à
   					Casablanca",N/A
900 000 DH,"Al Qods à
   					Casablanca",N/A
1 200 000 DH,"Les Hôpitaux à
   					Casablanca",N/A
1 270 000 DH,"Les Hôpitaux à
   					Casablanca",N/A
1 250 000 DH,"Sidi Maarouf à
   					Casablanca",N/A
1 300 000 DH,"Hermitage à
   					Casablanca",N/A
