price,location,details,features,rooms,size_m2
1895200,"Californie à
	 					Casablanca","3 chambres, 108 m²","['Terrasse', 'Ascenseur', 'Concierge', 'Climatisation', 'Cuisine équipée', 'Four']",['3'],['108']
929250,"Riviera à
	 					Casablanca","1 chambre, 42 m²","['Climatisation', 'Double vitrage', 'Cuisine équipée']",['1'],['42']
1866700,"Californie à
	 					Casablanca","3 chambres, 113 m²","['Climatisation', 'Sécurité', 'Cuisine équipée', 'Four']",['3'],['113']
1062700,"Sidi Maarouf à
	 					Casablanca","2 chambres, 112 m²",[],['2'],['112']
33000000,"Anfa Supérieur à
	 					Casablanca","5 chambres, 1200 m²","['Jardin', 'Garage', 'Ascenseur', 'Vue sur mer', 'Piscine']",['5'],['1200']
1073140,"Sidi Maarouf à
	 					Casablanca","1 chambre, 95 m²",[],['1'],['95']
1390000,"Belvédère à
	 					Casablanca","2 chambres, 106 m²","['Terrasse', 'Ascenseur', 'Concierge', 'Façade extérieure', 'Salon Marocain', 'Salon européen', 'Antenne parabolique', 'Climatisation', 'Chauffage central', 'Sécurité', 'Double vitrage', 'Cuisine équipée', 'Four']",['2'],['106']
1400000,"Oasis à
	 					Casablanca","3 chambres, 90 m²",[],['3'],['90']
1706230,"Californie à
   						Casablanca","3 chambres, 99 m²","['Climatisation', 'Sécurité', 'Cuisine équipée', 'Four']",['3'],['99']
3900000,"Anfa à
   						Casablanca","2 chambres, 137 m²","['Piscine', 'Concierge', 'Four']",['2'],['137']
1585000,"Californie à
   						Casablanca","3 chambres, 101 m²","['Terrasse', 'Ascenseur', 'Concierge', 'Climatisation', 'Sécurité', 'Cuisine équipée', 'Four']",['3'],['101']
1140000,"Belvédère à
   						Casablanca","2 chambres, 97 m²","['Terrasse', 'Garage', 'Ascenseur', 'Concierge', 'Façade extérieure', 'Salon Marocain', 'Salon européen', 'Antenne parabolique', 'Climatisation', 'Sécurité', 'Double vitrage', 'Cuisine équipée', 'Four']",['2'],['97']
1602000,"Sidi Maarouf à
   						Casablanca","2 chambres, 130 m²",['Ascenseur'],['2'],['130']
650000,"Lissasfa à
   						Casablanca","2 chambres, 64 m²","['Garage', 'Ascenseur', 'Cuisine équipée']",['2'],['64']
935000,"Bernoussi à
   						Casablanca","3 chambres, 99 m²","['Piscine', 'Climatisation', 'Sécurité', 'Cuisine équipée']",['3'],['99']
2650000,"Racine Extension à
   						Casablanca","3 chambres, 138 m²","['Garage', 'Ascenseur', 'Concierge', 'Façade extérieure', 'Salon Marocain', 'Salon européen', 'Climatisation', 'Cuisine équipée', 'Four']",['3'],['138']
1490000,"Belvédère à
   						Casablanca","2 chambres, 108 m²","['Terrasse', 'Garage', 'Ascenseur', 'Concierge', 'Façade extérieure', 'Salon Marocain', 'Salon européen', 'Antenne parabolique', 'Climatisation', 'Sécurité', 'Double vitrage', 'Cuisine équipée', 'Four']",['2'],['108']
1210000,"Bourgogne Ouest à
   						Casablanca","2 chambres, 76 m²","['Garage', 'Ascenseur', 'Concierge', 'Climatisation', 'Sécurité', 'Cuisine équipée', 'Four']",['2'],['76']
845000,"Bernoussi à
   						Casablanca","3 chambres, 77 m²","['Terrasse', 'Piscine', 'Climatisation', 'Sécurité', 'Cuisine équipée']",['3'],['77']
1040000,"Aïn Sebaâ à
   						Casablanca","3 chambres, 86 m²",['Sécurité'],['3'],['86']
934000,"Oulfa à
   						Casablanca","2 chambres, 147 m²","['Jardin', 'Terrasse', 'Garage', 'Ascenseur', 'Concierge', 'Sécurité']",['2'],['147']
1620000,"Belvédère à
   						Casablanca","3 chambres, 148 m²","['Terrasse', 'Garage', 'Ascenseur', 'Concierge', 'Façade extérieure', 'Salon Marocain', 'Salon européen', 'Antenne parabolique', 'Climatisation', 'Chauffage central', 'Sécurité', 'Double vitrage', 'Cuisine équipée', 'Four']",['3'],['148']
580000,"Al Azhar à
   						Casablanca","2 chambres, 71 m²","['Terrasse', 'Ascenseur']",['2'],['71']
2000000,"Al Qods à
   					Casablanca",,"['Terrasse', 'Salon Marocain', 'Salon européen', 'Antenne parabolique', 'Sécurité', 'Porte blindée']",,
1260000,"Hay Hassani à
   					Casablanca",,"['Terrasse', 'Garage', 'Ascenseur', 'Concierge', 'Meublé', 'Salon Marocain', 'Climatisation', 'Cuisine équipée', 'Réfrigérateur', 'Four', 'Machine à laver']",,
3850000,"Maârif Extension à
   					Casablanca",,"['Terrasse', 'Garage', 'Ascenseur', 'Concierge', 'Salon Marocain', 'Salon européen', 'Antenne parabolique', 'Cheminée', 'Sécurité', 'Four']",,
1250000,"Centre Ville à
   					Casablanca",,"['Terrasse', 'Garage', 'Ascenseur', 'Concierge', 'Meublé', 'Salon européen', 'Climatisation', 'Chauffage central', 'Sécurité', 'Cuisine équipée', 'Réfrigérateur', 'Four', 'Machine à laver']",,
2500000,"Hermitage à
   					Casablanca",,"['Terrasse', 'Garage', 'Ascenseur', 'Chambre rangement', 'Façade extérieure', 'Salon Marocain', 'Salon européen', 'Cheminée', 'Porte blindée']",,
3350000,"Ferme Bretonne (Hay Arraha) à
   					Casablanca",,"['Terrasse', 'Garage', 'Ascenseur', 'Concierge', 'Meublé', 'Façade extérieure', 'Salon européen', 'Cheminée', 'Climatisation', 'Cuisine équipée', 'Réfrigérateur', 'Four', 'Machine à laver']",,
900000,"Hay Hassani à
   					Casablanca",,"['Ascenseur', 'Concierge', 'Sécurité', 'Cuisine équipée', 'Four']",,
1400000,"La Vilette à
   					Casablanca",,"['Terrasse', 'Garage', 'Ascenseur', 'Concierge', 'Sécurité']",,
2850000,"Ferme Bretonne (Hay Arraha) à
   					Casablanca",,"['Terrasse', 'Garage', 'Ascenseur', 'Cheminée', 'Climatisation', 'Sécurité', 'Double vitrage', 'Cuisine équipée', 'Four', 'Micro-ondes']",,
